フォトコン名,開始日,終了日,説明,参加方法,主催者,元ポストのURL,注意事項
StudioYONOアバターフォトコンテスト,2026-07-15,2026-07-31,StudioYONO制作アバター（テレサ、怜、斑霞、士堂など）を使用した写真のコンテスト。各アバター賞やSAMPLE賞、YONO特別賞あり。協賛ショップ多数。,対象アバターを使用した写真をXに投稿し、共通ハッシュタグ #StudioYONOアバターフォトコンテスト と対象アバターのハッシュタグ（例: #テレサフォトコン など）を付ける。,はるまき (@Harumaki136) / StudioYONO,https://x.com/Harumaki136/status/2072306339741855926,レタッチ・画像加工可。AI生成・AI加工禁止。R18・公序良俗に反する表現・過度な暴力表現禁止。複数アバター写っていてもOKだがメインはStudioYONOアバター。発表8/31予定。
フォトノモリ3,2026-06-28,2026-08-28,ツクルノモリアバター限定のフォトイベント。公式×ティコノモリ協賛。サンプルOK。,①ツクルノモリアバターで撮影（合成・NFT・AR可）②指定ハッシュタグを付けて投稿 ③リプのアカウントをフォロー ④リプのポストを引用。,Mota (@MotaXX7OLDL) / ツクルノモリVR,https://x.com/MotaXX7OLDL/status/2071213805116498199,サンプル参加可能。詳細は元ポストや公式ワールド参照。
第8回Velleフォトコン,2026-07-12,2026-07-31,Velleちゃんを被写体とした写真。,Velleちゃんを被写体とした写真を『#Velleフォトコン』をつけてXに投稿。1人1投稿4枚まで。,こま (@kommma_),https://x.com/kommma_/status/2075959394274267140,被写体の同意を得て投稿。VRCで撮影（加筆修正レタッチ自由）。NSFW表現お控え。最終日時点のポストを選考。複数アバターOKだがVelleがわかる程度。受賞作品は集会会場に掲示。
VirtualMarket × VRC感情の解釈フォトコン コラボ,2026-07-11,2026-07-26,VKETSummer開催期間中のコラボ。テーマ「熱狂」。優秀作品にVKET関連特別3Dモデルプレゼント。,撮影ワールドはVKET公式ワールドのみ。投稿時に #Vket2026Summer と #VRC感情の解釈フォトコンコラボ を付ける。,しろねこ🐾46neko (@46nekoVRC),https://x.com/46nekoVRC/status/2075746897235460416,ネガティブ要素を含む作品は対象外。賞品詳細後日発表。
コマネ発売記念 フォトコンテスト,2026-07-04,2026-07-25,コマネを使って撮影した写真。改変OK。未所持もペデスタルで参加可。,コマネを使用した写真をXに投稿。ハッシュタグ「#komane3D #komaneフォトコン2026」両方を付ける。一人何枚でもOK。,VRC合法チート研究会 (@vgc_gohocheat),https://x.com/vgc_gohocheat/status/2073568748284604417,最優秀賞：理想の衣装orギミック作成 + VGC商品3品。審査員賞3名：VGC商品3品。詳細Google Docsあり。結果はメタカル最前線で発表。受賞作はVRC-JP初心者プラザで展示。
Velvet Kiss フォトコン,2026-07-10,2026-07-14,Velvet Kissイベントのアフターでの吸血鬼たちのフォトコンテスト。プール＆水着仕様。,公式Xをフォローして、該当ポストを引用して撮った写真を投稿。タグ不要。,【VRChatイベント】❤️Velvet Kiss❤️ (@VRC_VelvetKiss),https://x.com/VRC_VelvetKiss/status/2075412466692133302,吸血鬼のみが映っている写真が対象。来客者映り込みや条件未達は対象外。加筆編集OK。提出期限7/14 23:59。ベストショットに招待券プレゼント。
V婚式Ding ウェディングフォトコンテスト,2026-07-01,2026-07-20,VRCWedding Ding ドレス/タキシード発売記念。3部門：ラブラブ賞、ユニーク賞、シチュエーション賞。,V婚式Dingのドレス/タキシードを身に着けての投稿。#V婚式Ding をつけて投稿。,V婚式 Ding (@VRC_Wedding),https://x.com/VRC_Wedding/status/2071156655459385579,レタッチOK。他者撮影OK。複数人映り込みOK（賞品は代表者）。複数枚OK（一枚ずつ投稿）。Unity撮影・AI生成・画像編集は対象外。賞品：メタバース挙式券、BOOTHギフトなど。
Keenooアバターフォトコン,2026-07-03,2026-07-19,Keenooショップ内の販売アバターを使用した写真。,タグ #KeenooPhotocon1 をつけて写真と一緒に告知ポストを引用リポスト。,きゃの (@keenoo_kyano),https://x.com/keenoo_kyano/status/2072606211065905249,Keenooショップ内アバターのみ。VRC内写真。期間中何枚でも。AI使用不可。レタッチ可。NSFW不可。過去他フォトコン使用写真不可。優秀賞5名：5000円分ギフト。
推しワンフォトコン,2026-06-19,2026-07-20,好きな楽曲のワンフレーズとそのフレーズを表現した写真。, #推しワンフォトコン を付け、曲のワンフレーズとそれを表現した写真を一緒に投稿。,カーミラ (@CarmillaMaki),https://x.com/CarmillaMaki/status/2067829434481258519,VRCワールドで撮影。レタッチOK。1人2枚まで。複数人OK。NSFW/性的/暴力NG。MMDワールドNG。AIレタッチNG。版権アバターNG。最優秀：BOOTH3000円分、優秀3名：1000円分。
わたなべのVRCフォトコン,2026-07-01,2026-07-31,部門：ポートレート部門、風景部門、どうしてこうなった部門。, #わたなべのVRCフォトコン のタグとテーマ「〇〇〇〇部門」記載必須で投稿。,わたなべゆうか (@vrc_Yuukas555),https://x.com/vrc_Yuukas555/status/2071969912885817548,VRChat内撮影。公開可能内容。縦横制限なし。複数人可（許可得ること）。レタッチ・カメラギミック拡張可。明るさ色調補正・トリミング可。投稿制限なし。同一作品複数応募禁止。他人作品無断使用禁止。合成・大幅編集不可。公序良俗反・VRChat規約違反・著作権侵害・AI生成・NSFW禁止。最優秀各部門3000円BOOTHギフト、優秀各部門1000円。
