フォトコン名,開始日,終了日,説明,参加方法,主催者,元ポストのURL,注意事項
褐色フォトコン,2026-07-24,2026-08-23,夏が恋したその肌をテーマに褐色アバターの写真を募集。最優秀賞・部門賞など多数、賞金総額4.5万円。,#褐色フォトコン をつけてXに写真を投稿,@AkiNaki_VRChat,https://x.com/AkiNaki_VRChat/status/2079400984963620988,作品はVRCosmeに登録。複数人写る場合は投稿者本人のアバターが褐色であること。フレーバーテキスト不要。最優秀賞・部門賞は他賞と重複可。審査員投稿あり。質問は主催DMへ。
第1回カフェCloverCherryフォトコン,2026-07-20,2026-07-31,実際に豆を販売しているカフェCloverCherryのイベントワールドで撮ったちょっとレトロな喫茶店の魅力が伝わる写真を募集。最優秀賞は白川憶人氏描き下ろしVRChatアバターイラスト。,指定ワールド（カフェCloverCherry / [Night]）で写真を撮り #CloverCherryフォトコン を付けてXに投稿,@strustrust_VRC,https://x.com/strustrust_VRC/status/2079185426720731414,応募者本人が撮影した作品に限る。レタッチ程度のAI利用可。ワールドに存在しないものを追加・削除する加工や雰囲気を大きく変える加工はNG（アバター改変・演出はOK）。公序良俗に反する内容や第三者権利侵害は対象外。応募作品は主催が紹介・広報目的で使用する場合あり（作者名表記）。
KSKWorksフォトコン（KsKWorksワールドフォトコンテスト）,2026-08-11,2026-08-31,主催が作ったワールドで過ごした「二人だけの一瞬」を写真に。きれいな写真でなくても構わない。2人1組での応募。最優秀賞1組に賞品あり（希望のBOOTH VRChat関連商品合計1万円分程度）。,対象ワールドで2人の写真を撮り #KSKWorksフォトコン を付けて投稿,@Stella_XJV,https://x.com/Stella_XJV/status/2086657112479080614,結果発表時までに投稿削除は選考対象外。コンテスト終了後結果ワールド作成予定（全写真掲載ではない）。賞品は応募者XのDMで要望を伺うのでDM開放を。対象ワールド以外や要件を満たさない作品は審査対象外。VRChat規約・公序良俗違反は審査・掲示なし。全身写らなくてもOK、顔が見えなくてもOK、身体一部でも「二人」と分かればOK。レタッチは色調補正・トリミング・明るさ等構図を変えない処理はOK、生成AI・描き足し・大幅描き直しはNG。
第三回TMフォトコン,2026-09-01,2026-09-30,テーマ『ENN』（縁・演・園・遠・焉・円・炎など色んな解釈）。最優秀賞BOOTH商品3000円分、モデル賞・ワールドモデラー賞各1500円分。,期間内に写真を1枚添付して『#第三回TMフォトコン』と記載して本ポストをリポストでエントリー,@akira_VRC0614,https://x.com/akira_VRC0614/status/2088778561859801259,VRCデフォルトカメラのみ使用可。レタッチ・画像編集不可。センシティブ表現不可。写真はお一人1枚まで。応募写真は専用展示ワールドで展示。タイトルがあるとなお良し。
影領域フォトコン,2026-07-18,2026-08-31,影領域エフェクトのアップデート＆リリース半年記念。影領域エフェクトを良い感じに使用した写真を募集。優秀賞BOOTH VRC関連ギフト5000円分×3名。,#影領域フォトコン で投稿。影領域エフェクトを良い感じに使用。VRCインゲーム限定。,@aikawaoteage,https://x.com/aikawaoteage/status/2078135044921753816,複数投稿・動画歓迎。影領域未所持（フレンドに使用してもらう）OK。補足情報の追記歓迎（撮影環境・併用ギミックなど）。影領域以外での影併用時は記載推奨。加工は合成あり（複数画像重ね・背景差替えまでOK、イラスト・手描き要素書き込み不可）。AI補助ツールのみ可（AI画像生成禁止）。ゴア・流血・性的表現・政治・宗教はGL準拠。
第四回ルルネフォトコンテスト,2026-08-15,2026-08-23,テーマ「あなたの夏」。ルルネちゃんの写真を募集。最優秀賞Booth5000円分、優秀賞2000円分、審査員賞×4 1000円分、デフォルト賞（IKUSIAアバター「rurune」）、面白賞・かわいい賞・アート賞各1。,#ルルネフォトコンテスト を入れてツイート。枚数制限なし。,@Huyusameee_VRC,https://x.com/Huyusameee_VRC/status/2085924064624079279,サンプルでの参加可能。デフォルトは無改変Prefabそのまま（撮影ギミック導入可）。レタッチ可（詳細は投稿内画像参照）。おちびちゃんず可。
UZお誕生日フォトコン,2026-08-12,2026-08-29,主催者のお誕生日を記念して、主催者とのツーショット写真を募集。選ばれた方にBOOTHおねだり券プレゼント。,上のツイートに返信の形で写真を投稿。必ず「私とツーショット」。指定アバターと撮影。,@UZ511987952558,https://x.com/UZ511987952558/status/2087478442183041168,ハッシュタグなし。写真の加工は自由。不明点は個人的に問い合わせ。
Egil=Sapphire 2周年記念フォトコンテスト（#SSESフォトコン）,2026-08-15,2026-08-31,テーマ『海の乙女』。Egil=Sapphire（エジルサファイア）2周年記念。, #SSESフォトコン を含めて公式ポストを引用RPし、作品画像を添付して応募。,SecretSpace【Egil=Sapphire】 (@vrcEgilSapphire),https://x.com/vrcEgilSapphire/status/2088551452348448801,VRChat内撮影を高く評価。生成AIによるレタッチは評価に影響する場合あり。結果発表予定9/11。景品：衣装フルセット＋チケット、特別チケット、団体招待チケットなど多数。詳細はNotionおよび画像参照。
第三回TMフォトコン,2026-09-01,2026-09-30,テーマ『ENN』（縁・演・園・遠など色んな解釈）。,"期間内に写真を1枚添付して『#第三回TMフォトコン』と記載し、本ポストをリポストでエントリー。",あきらのVRC垢 (@akira_VRC0614),https://x.com/akira_VRC0614/status/2088778561859801259,VRCデフォルトカメラのみ使用可。レタッチ・画像編集不可。センシティブ表現不可。お一人1枚まで。応募写真は専用展示ワールドで展示。最優秀賞BOOTH3000円分、各モデル賞・ワールドモデラー賞BOOTH1500円分など。
VRChat スナップ写真フォトコン vol.2 「夏霞」（#VSNAPvol2）,2026-08-21（今週金曜日より応募開始）,未定（詳細追って）,テーマは「夏霞」（イメージで、評価基準ではない）。気楽に参加を。,詳細は今後の告知・画像参照。グループ『バーチャルスナップ写真部』あり。,榊田あまと | AM470 (@Sakakida_Amato) / バーチャルスナップ写真部,https://x.com/Sakakida_Amato/status/2089502537489453364,テーマはイメージ。前回vol.1の結果発表例あり。詳細ルールは追って確認を。
