フォトコン名,開始日,終了日,説明,参加方法,主催者,元ポストのURL,注意事項
WANG_VRC フォトキャンペーン,2026/4/10,2026/5/10,"WANG_VRCアバターに合う「最高の一枚」を募集するフォトキャンペーン。抽選で10名様にショップ内アイテム総額60,000円分（10名様分）をプレゼント。VRChat写真限定。","①写真を撮る　②この投稿を引用リポスト　③「WANG フォトキャンペーン」と #WANG_VRC を付けて投稿",WANG (@wang_VRC),https://x.com/wang_VRC/status/2042529297710354760,引用RP必須。#VRChat #VRChatPhotography 併用推奨。抽選形式（詳細は投稿画像参照）。
NORINEKOアバターフォトコンテスト (Re:V(レヴィ)販売日決定記念),2026/4/10,2026/4/29,"VRChat向け新アバター「Re:V(レヴィ)」販売記念のフォトコン。NORINEKOアバター（改変・サンプル可）を使用した写真限定。","#NORINEKOアバターフォトコン を付けてXにポスト（レタッチOK、投稿回数無制限）。",NORI-NEKO🐈 (@noricat___),https://x.com/noricat___/status/2042437425335865536,NORINEKOアバターの写真であればOK。最優秀賞「Re:V+N IIギフトURL」、N II賞・Re:V賞「NORINEKOアバター1体ギフトURL」。
おはしの春のフォトコンテスト (#おはし春フォトコン),2026/4/4,2026/4/15,"「春」をテーマにしたフォトコン。君の感じる「春」の最高の一枚（横画像推奨）にタイトルを付けて応募。VRCアバター・衣装・VRC+使用OK。",Googleフォームから応募（https://docs.google.com/forms/d/e/1FAIpQLSeHqPWZggm7bXYwwYXkhG6DtS_f-ZPRtmhIzf2vkdZX5L6MlA/viewform?usp=send_form）。タイトル付き横画像で投稿。,おはしはし (@ohashihashiVRC),https://x.com/ohashihashiVRC/status/2040081903215370633,応募資格は主催のフレンドまたはそのフレンドまで（初対面の方は事前DM必須）。詳細ルールはフォーム確認必須。
第十二回VRC感情の解釈フォトコン,2026/4/6,2026/4/20,"月一定期フォトコン。テーマ「勇気」に対する自由な解釈を写真で表現。正解なし・世界観重視のコンセプト型。最優秀賞（5000円boothギフト＋ギャラリー参加券）、審査員賞（各2000円boothギフト）あり。","Xで #第十二回VRC感情の解釈フォトコン を入れて投稿（枚数・回数制限なし）。",しろねこ🐾46neko (@46nekoVRC),https://x.com/46nekoVRC/status/2040957667326275870,写真制限なし（自身の感性を最大限に）。不明点はDM/リプで問い合わせ。
第4回 #ゆるフォトコン,2026/4/1,2026/4/12,"「春」をテーマにしたゆるいフォトコン。桜・ひなまつり・新生活など各自の「春」を表現。","春をテーマにした写真をXに投稿（詳細はリプライ欄参照）。",駄狐 こん / ゆるフォト交流会 (@psk_esk),https://x.com/psk_esk/status/2039175958813720722,賞品・注意事項はリプライ確認必須。#VRCイベント #拡散希望 推奨。
#バーチャルアイドルフォトコン2026,2026/5/16,2026/5/31,"バーチャルアイドルをテーマにしたフォトコン（今年も開催）。指定アイドルアバターで個別許可不要。","応募方法は後日告知（現在は予告段階）。過去/新規写真から選んで準備可。",おとちゃん＆ROOXさん (@oto_furuga ほか),https://x.com/H_iNok_O/status/2040006395982950555,個別許諾不要の対象アイドル限定（詳細は主催者告知待ち）。
第4回 ぶいちゃコーデ フォトコンテスト (THE 4th),2026/3/10,2026/4/10,"VRCファッション写真を対象とした第4回フォトコン。部門賞（エク/風/深澄/真冬/リルモワ/New NecoMaid/リナシータ/華夜/カルネ/彼方＆此方/サフィーなど）が豊富で、オリジナル3Dモデルや現金賞品。","@vrc_style をフォロー＆本投稿をRT → #ぶいちゃコーデ をタグ付けして投稿（部門参加時は追加タグ）。アバター・服装が見える写真限定、VRC/Unity撮影OK、投稿数無制限、複数人OK。",ぶいちゃコーデ | VRC Fashion Media (@vrc_style),https://x.com/vrc_style/status/2030810804619186197,アバター・衣装の利用規約厳守。大量タグ使用禁止（検索非表示防止）。部門賞は対応タグ必須。
第十一回VRC感情の解釈フォトコン,2026/3/9,2026/3/23,"月一定期フォトコン。テーマ「欲」に対する自由な解釈を写真で表現。正解なし・世界観重視のコンセプト型。","Xで #第十一回VRC感情の解釈フォトコン を入れて投稿（枚数・回数制限なし）。",しろねこ🐾46neko (@46nekoVRC),https://x.com/46nekoVRC/status/2030810804619186197,写真制限なし（自身の感性を最大限に）。不明点はDM/リプで問い合わせ。
第1回 VTYLE Avatar Photo Contest,2026/3/16,2026/3/27 (KST 15:00締切),"VRChatアバター写真限定の初回コンテスト。Discord投票で1〜3位決定。","指定DiscordリンクにVRChatアバター写真1枚投稿 → 気に入った作品に👍リアクションで投票。",VTYLE / Overay (@BoothOveray),https://x.com/BoothOveray/status/2033368111236386858,1人1枚のみ。NSFW/過度露出は除外可能性あり。VRChatアバター写真限定。
第1回 士堂フォトコン,2026/3/22,2026/4/10,"新アバター「士堂 -Shidou-」をテーマにしたフォトコン（テーマ「大人の余裕」）。改変/サンプル/人気投稿/ファン部門あり。","本投稿を引用RPし画像添付 → #士堂3D #Shidou3D タグ付け投稿。",メタバースクリエイターズ (@MetaCreatorsTYO),https://x.com/MetaCreatorsTYO/status/2035552058829672467,NSFW禁止。投稿数無制限、レタッチOK、VRC/Unity撮影OK。士堂サンプルは人気投稿部門対象外。複数人写真は投稿者に賞品。
