フォトコン名,開始日,終了日,説明,参加方法,主催者,元ポストのURL,注意事項
Flavor Lab+ PHOTO CONTEST,2026/08/07,2026/09/13,「思わずアイスを食べたくなる一枚を。」Flavor Lab+やアイスをモチーフにした写真。営業中の思い出やワールドの景色、推しアイスさんへの愛が伝わる作品も歓迎。,①公式Xをフォロー ②募集ポストを引用リポスト ③写真1枚とタイトルまたはコメントを添えて投稿 ④#FlavorLab_フォトコン を付ける（応募点数制限なし）,Flavor Lab+ @FlavorLab_VRC,https://x.com/FlavorLab_VRC/status/2085607098889691303,フルHD(1920x1080)以上・16:9推奨。AI生成・AI加筆禁止。他フォトコン重複応募不可。極端な露出・性的・グロ表現禁止。レタッチ（色調・ライティング）は可。応募作品は広報に使用される場合あり。豪華協賛景品＋全受賞者にイベント招待チケット。急遽アイスさん限定「ハカセ賞」追加。
第三回TMフォトコン,2026/09/01,2026/09/30,テーマ『ENN』（縁・演・園・遠など多様な解釈）。,期間内に写真を1枚添付して『#第三回TMフォトコン』と記載し、元ポストをリポスト（引用リポスト）でエントリー。,@akira_VRC0614,https://x.com/akira_VRC0614/status/2088778561859801259,VRCデフォルトカメラのみ使用可。レタッチ・画像編集不可。センシティブ表現不可。お一人1枚まで。応募写真は専用展示ワールドで展示。タイトル推奨。景品：最優秀賞BOOTH3000円分、各モデル賞・ワールドモデラー賞BOOTH1500円分。
VRChat弓道フォトコンテスト2026,2026/09/01,2026/09/20,VRChat内で撮影された「弓道」に関係する写真（人物・所作・道具・場面・ワールドなど広義）。,Xに作品タイトル＋#VRC弓道フォトコン2026 を付けて投稿した後、特設サイトからエントリー登録が必要（X投稿のみでは投票対象外）。1人3点まで。,VRC弓道部 @VRCQD（部長 @syuutingbe）,https://x.com/VRCQD/status/2094765732722794874,詳細は https://puchiryuuvrc.github.io/QDPhoto2026-Pages/ 参照。投票期間は9/22-9/30。加工は撮影実態を損なわない範囲まで可（AI生成・イラスト化・文字入れ禁止）。NSFW非推奨。前年作品の再投稿禁止。結果発表10月上旬。表彰作品は弓道場ワールドに掲示。
第9回ゆるフォトコン,2026/09/01,2026/09/16,テーマ『思い』。あなたの思いがこもった一枚。, #ゆるフォトコン のタグを付けてポストするだけ。普段のおはツイや過去写真でも参加可。,ゆるフォト交流会 @YuruPhoto_（主催 駄狐こん @psk_esk）,https://x.com/YuruPhoto_/status/2094350388170473625,複数応募の場合は最後のポストを参照。AIによる大幅な加筆・画像生成は不可。レタッチ・ギミック・Unity撮影は制限なし。入賞作品はゆるフォト交流会ワールドに掲示。大賞3枠（うち1枠は交流会当日投票）、ゆるフォト賞24枠。発表は9/25の交流会にて。
エクちゃん学園フォトコン,2026/09/01,2026/09/23,学園生活を送るエクちゃんをテーマにした写真。, #エクちゃん学園フォトコン を付けてXへ投稿。1人2枚まで。,エクちゃんフォトコン委員会 @Eku3D_Photo,https://x.com/Eku3D_Photo/status/2094759659303321863,エク素体の改変アバターであること。VRCワールド内撮影。レタッチOK。MMDワールド撮影禁止。NSFW/暴力/性的表現禁止。タグ未記載は無効。審査員賞は各審査員が選考。賞品：優秀賞BOOTHギフト2000円、審査員賞1000円×3、仲良し賞500円。
Wiege/Kerzeフォトコンテスト,2026/09/01,2026/09/30,お屋敷のメイドさん、執事さんとお坊ちゃまお嬢様の日常風景。読み聞かせイベントに限らず応募可。,#WiegeKerzeフォトコン を付けてXに投稿。応募制限なし。,@Wiege_VRC,https://x.com/Wiege_VRC/status/2094545780539297797,ゲーム内カメラ・アバターギミック・ワールドギミック可。Unity/Blender/デスクトップSS/AR撮影不可。AI画像生成禁止（補助ツールは可）。合成（背景差し替え等）可だがイラスト書き込み不可。ゴア・流血・性的・政治宗教表現禁止。必ずしも複数人撮影不要。優秀賞4名：ワールド掲載＋参加券、入館賞（ランダム1名）：参加券。
soraフォトコン,2026/09/01,2026/09/30,テーマ「空」。フォロワー500人記念。,#soraフォトコン を付けて募集ポストを引用リポスト。VRC・Unity撮影可。,@sora01063939,https://x.com/sora01063939/status/2094349480699334961,AIによる加筆・画像再生成禁止。性的・暴力・流血・政治・宗教表現禁止。最優秀賞Amazonギフト1万円、優秀賞Amazonギフト5千円（人数未確定）。応募者への攻撃的発言は控えること。
八咫烏フォトコン2026,2026-08-24,2026-09-24,"八咫烏公式ワールドで撮影したかっこいい一枚。八咫烏の世界観を感じられる写真。テーマは公式ワールド。","#八咫烏フォトコン2026 をつけてXに投稿し、Googleフォームに必要事項を記入して応募。1投稿につき画像1枚（最大4枚まで投稿可）","神祇省公安対魔特務六課：八咫烏（@m_yata_official）",https://x.com/m_yata_official/status/2091722165812871453,"公式ワールドを使用しワールド名を必ず明記。レタッチ・加工可（過度の変形・合成は審査対象外の可能性）。公序良俗に反する表現禁止。複数人写っている場合は投稿者が代表。禁止：著作権侵害のアバター・衣装・小物・ワールド使用、3Dモデルの無断抽出、上記が疑われるもの。","画像に詳細あり。賞品：最優秀賞Amazonギフト5000円分+Booth商品など"
KsKWorksワールドフォトコンテスト,2026-08-11,2026-09-07,"主催者作成ワールドで過ごした『二人だけの一瞬』『10万人の中の二人』をテーマにした写真。2人1組での応募。","@Stella_XJVをフォロー。作品タイトル必須。#KSKWorksフォトコン をつけてXに投稿。1組につき1投稿（4枚まで）","すてら（@Stella_XJV）",https://x.com/Stella_XJV/status/2086657112479080614,"応募者は18歳以上の日本国籍を有するVRChatプレイヤー。2人とも写真に写っていること。対象ワールドのみ。レタッチ・色調補正・トリミング自由。未発表なら過去撮影写真も可。応募者本人が撮影・編集。結果発表まで投稿削除不可。賞品は最優秀1組にBOOTH VRChat関連商品1万円分（2個まで）。DM開放必須。","当初8/31締切を9/7に延長。対象ワールド複数あり（画像・リプ参照）"
薄暮台フォトコン2026,2026-09-01,2026-09-22,"薄暮台高等学校文化祭のフォトコン。テーマ『青春の途中』","#薄暮台フォトコン2026 で投稿。期間中何枚でもOK","薄暮台高等学校 校長 Lize（@ashn_lize / @melowvr）",https://x.com/ashn_lize/status/2094262818895978947,"詳細なレギュレーションは投稿時点で少なめ。気軽に参加。優秀作品は永年展示される可能性。","文化祭期間中の企画。自主企画も同時募集"
WiegeKerzeフォトコンテスト,2026/09/01,2026/09/30,お屋敷のメイドさん、執事さんとお坊ちゃまお嬢様の日常風景,#WiegeKerzeフォトコン,@Wiege_VRC,https://x.com/Wiege_VRC/status/2094545780539297797?s=20,皆様の思い描くお屋敷の様子をご撮影くださいませ。
