フォトコン名,開始日,終了日,説明,参加方法,主催者,元ポストのURL,注意事項
第4回VRフォトコンテスト（VR Photography 2026）,2026-07-19頃（応募開始）,2026-08-23,写真は沈黙のナレーション。被写界深度の向こうに、言葉にできない感情を。複数部門あり（一般、ライジングVRフォトグラファー、Project Lost Worldsなど）。授賞式は9/19。,"1. @XRGrapherをフォロー 2. #第4回VRフォトコン2026 を付けてXに投稿 3. Googleフォームで提出（公式: https://docs.google.com/forms/d/e/1FAIpQLSfHiVl3FAA1vzBgJ0FkV2P4hpGNDWQ4zxQApeeS1D8kohdzfQ/viewform）",XR Grapher Association (@XRGrapher),https://x.com/XRGrapher/status/2078765565481779239,部門により受賞歴制限あり。詳細はリプライの画像参照。ファイル名にGoogleアカウント名が付く場合あり影響なし。
褐色フォトコン,2026-07-24,2026-08-23,――夏が恋した、その肌を。褐色アバターをテーマにしたフォトコン。,"#褐色フォトコン を付けてXに写真を投稿。作品はVRCosmeに登録。",あきなき (@AkiNaki_VRChat),https://x.com/AkiNaki_VRChat/status/2079400984963620988,複数人が写っている場合投稿者本人のアバターは必ず褐色であること。フレーバーテキストなし可。最優秀賞・部門賞は他賞と重複可。審査員投稿可。投稿後24時間以内にVRCosme登録がない場合DMを。
第八回 ゆるフォトコン,2026-08-01,2026-08-17,テーマは『VRChat』。みんなの思うVRChat！の写真。,"#ゆるフォトコン を付けてポストするだけ。過去写真・おはツイも可。",ゆるフォト交流会 (@YuruPhoto_ / 主催: @psk_esk),https://x.com/YuruPhoto_/status/2083112289226641723,VRChat内撮影のみ。AIによる大幅加筆・生成不可。Unity撮影不可。複数応募は最後の投稿を参照。入賞作品はゆるフォト交流会ワールドに掲示。大賞Boothギフト3,000円分（延長に伴う変更）。発表は8/22の交流会。
メガネ祭りフォトコン,2026-08-01,2026-08-31,メガネ祭りを記念して「メガネと夏」をテーマにしたVRChatフォトコンテスト。,"Xにて #VRCメガネ祭りフォトコン を付けて投稿。",メガネアバターを広める会 (@Megane_hiromeru),https://x.com/Megane_hiromeru/status/2083372144939925742,詳細は添付画像参照。最優秀賞BOOTH 6000円分、優秀賞3000円分、審査員賞1000円分x3。
SASA-Cafeアバターフォトコン,2026-08-11,2026-08-20,華夜・椿姫を被写体とした写真。,"#SASACafeアバターフォトコン を付けて元ポストを引用RP。",怠居雲丹(うに) (@lazy_uni),https://x.com/lazy_uni/status/2087045874031706196,レタッチOK（無改変賞あり）。髪型・衣装・メイク改変OK。写真内アバターは華夜または椿姫のみ。NSFW不可。VRChat外撮影可。AI生成不可。何枚でも可。結果発表8/22集会。
第2回VRoidフォトコンテスト,2026-08-01,2026-08-31,応募資格はVRoidであることだけ。同じVRoidユーザーの投票で最優秀賞決定。投票日9/18。,"詳細は画像参照。#VRoid_フォトコン2",tokino (@allianzkadett),https://x.com/allianzkadett/status/2083206055472079179,1アカウントにつき当初1枚→ルール変更で8/15まで1枚、16日以降もう1枚可。18ショップ・団体協賛。
OKEANOSフォトコン2026,2026-07-31頃,2026-09-30,OKEANOS DESCENT一周年記念フォトコンテスト。撮影ワールドはOKEANOS DESCENTのみ（一部除外）。,"写真＋簡単なタイトル＋#OKEANOSフォトコン2026 を付けて投稿。",OKEANOS GROUP (@descent14071),https://x.com/descent14071/status/2083327717215535461,VRchatデフォルトカメラのみ。過去のOKEANOSフォトコン参加作品はNG。枚数制限なし。各賞：ワールド製作者賞・ストーリー製作者賞・オケアノスクルー賞など。詳細はツリー画像。
お姉さんしなのフォトコン（第2回・夏）,2026-07-01,2026-08-21,テーマ【お姉さんと過ごした夏の思い出】。確かに存在したはずのお姉さんとの存在しない記憶を思い出させるような作品。,"当アカウントをフォローし #お姉さんしなのフォトコン夏 を付けて投稿。引用ツイートで特別賞チャンス。",お姉さんしなの集会 (@Onesan_Shinano),https://x.com/Onesan_Shinano/status/2071760635616956569,詳細は添付とリプ欄画像。#VRCフォトコン応募要項 使用。過去1カ月に告知再確認あり。
FLASTORE 3アバター合同イベント「456祭」フォトコン,2026-08-01,2026-08-16,テーマ「夏」。Wolfram/Nemo/Maon/3アバター合同の4部門。,"単体部門：#456祭 ＋各アバターハッシュタグ / 合同部門：#456祭 #FLASTORE",@nemowata_0317 他（FLASTORE関連）,https://x.com/nemowata_0317/status/2083162034565513356,詳細投稿条件は元ポスト・ツリー参照。
Flavor Lab+ PHOTO CONTEST,2026-08-07,2026-09-13,「思わずアイスを食べたくなる一枚を。」VRChatで撮影した"アイスを食べたくなる"一枚。,"1. 公式フォロー 2. 募集ポストを引用RT 3. #FlavorLab_フォトコン を付けて投稿",Flavor Lab+ (@FlavorLab_VRC),https://x.com/FlavorLab_VRC/status/2085607098889691303,協賛ショップ・クリエイターより豪華景品。各受賞者にFlavor Lab+招待チケット。AI生成不可など詳細リプ欄。
あなたの居場所VRフォトコン,2026-07-20,2026-08-31,あなたの居場所をテーマにしたVRフォトコン。,"詳細は https://shutterpact.mo4ca.net/#rule/rHnF3weFYjc 参照。",@vrc_mo4ca,https://x.com/vrc_mo4ca/status/2086256030535827805,8月いっぱいまで。
